lot_id,horseId,salesId,lot_number,book_number,sex,horse_name,sire_name,session_median_price,mv_expected_index,mv_low_index,mv_high_index,mv_expected_price,mv_low_price,mv_high_price,mv_raw_price,mv_confidence_tier,mv_model_version,mv_generated_at
507657,1723325,2005,250,0,Colt,Incys26-250,Star Turn,70000.0,0.5413569458574745,0.3363651207737066,1.218541419063759,37900.0,23500.0,85300.0,37900.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507658,1722803,2005,251,0,Filly,Incys26-251,Street Boss,70000.0,1.060311108530245,0.8228635086180689,1.6546894527345164,74200.0,57600.0,115800.0,74200.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507659,1722804,2005,252,0,Filly,Incys26-252,Dundeel,70000.0,1.4020762761581844,0.9979807382417444,2.1020497358297154,98100.0,69900.0,147100.0,98100.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507660,1722805,2005,253,0,Filly,Incys26-253,Hellbent,70000.0,1.51928176507732,0.7203505299276154,2.5713296740565568,106300.0,50400.0,180000.0,106300.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507661,1751785,2005,254,0,Filly,INGS25-176,Castelvecchio,70000.0,1.2931230478807987,0.7867726979466121,1.8171480219294818,90500.0,55100.0,127200.0,90500.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507662,1723326,2005,255,0,Colt,Incys26-255,Wild Ruler,70000.0,0.5193911475112012,0.36336041380953993,1.438211788644472,36400.0,25400.0,100700.0,36400.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507663,1752498,2005,256,0,Colt,INAUW25-16,Pride Of Dubai,70000.0,0.6590793027660614,0.36749183254421036,1.443294206442178,46100.0,25700.0,101000.0,46100.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507664,1722808,2005,257,0,Filly,Incys26-257,Pierata,70000.0,0.9759514084609695,0.43237836870607926,1.47501681662831,68300.0,30300.0,103300.0,68300.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507665,1752066,2005,258,0,Colt,MMGCNW25-134,Tiger Of Malay,70000.0,0.5385764012903386,0.27222686968677556,0.9781472829644936,37700.0,19100.0,68500.0,37700.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507666,1722810,2005,259,0,Colt,Incys26-259,Grunt,70000.0,0.6823332371399904,0.44363300044571086,1.2650989590780983,47800.0,31100.0,88600.0,47800.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507667,1722811,2005,260,0,Colt,Incys26-260,I Am Invincible,70000.0,2.4133057904451856,1.485795502769153,4.300893180941713,168900.0,104000.0,301100.0,168900.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507668,1722812,2005,261,0,Colt,Incys26-261,Dirty Work,70000.0,0.6067780318345734,0.3474184496387628,1.128520206082227,42500.0,24300.0,79000.0,42500.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
